tweet,date_time
Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK,2017-01-12 19:52:00
@barackobama Thank you for your incredible grace in leadership and for being an exceptionalâ€¦ https://t.co/ZuQLZpt6df,2017-01-11 08:38:00
Life goals. https://t.co/XIn1qKMKQl,2017-01-11 02:52:00
Me right now ğŸ™ğŸ» https://t.co/gW55C1wrwd,2017-01-11 02:44:00
SISTERS ARE DOIN' IT FOR THEMSELVES! ğŸ™ŒğŸ»ğŸ’ªğŸ»â¤ï¸ https://t.co/0shuUYUBEv,2017-01-10 05:22:00
happy 96th gma #fourmoreyears! ğŸˆ @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA,2017-01-09 01:00:00
"Kyoto, Japan
1. 5. 17. https://t.co/o28M0vw9lR",2017-01-06 03:57:00
ğŸ‡¯ğŸ‡µ @ Sanrio Puroland https://t.co/eXVev5UMBx,2017-01-02 09:31:00
2017 resolution: to embody authenticity!,2017-01-01 03:31:00
sisters. https://t.co/5ZE21x2aNk,2016-12-27 04:04:00
Happy Holidays! Sending love and light to every corner of the earth ğŸ,2016-12-25 20:35:00
"Damn, it's hard to wrap presents when you're drunk. cc @santa",2016-12-25 05:45:00
When my whole fam tryna have a peaceful holiday ğŸ’ğŸ»hehehe https://t.co/fEyq3hzdlz,2016-12-24 16:26:00
When your holiday shopping is woke af â—ï¸blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L,2016-12-23 18:42:00
@shannonwoodward Have you been hacked,2016-12-23 02:22:00
This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautifulâ€¦ https://t.co/vL1BIj4sCZ,2016-12-21 23:05:00
Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA,2016-12-21 22:42:00
For real tho https://t.co/jxMV9Q6WCs,2016-12-16 08:24:00
I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6,2016-12-07 09:03:00
I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,2016-12-07 02:35:00
@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.,2016-12-06 09:56:00
@jessesaintjohn @kanyewest FADE DOE,2016-12-06 09:54:00
"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",2016-12-06 09:53:00
Same https://t.co/98vBUp7BzI,2016-12-06 09:52:00
Fully https://t.co/Iii4a58tPN,2016-12-06 09:52:00